code,description,discount_percentage,start_date,end_date
Descuento 30%,Fusce consequat.,81.62,2024-05-06,2024-07-16
Descuento 10%,Pellentesque ultrices mattis odio.,26.39,2023-08-10,2024-07-28
Descuento 50%,Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.,72.89,2023-10-16,2023-11-21
Descuento 50%,Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.,74.06,2023-12-01,2023-10-20
Descuento 10%,Curabitur gravida nisi at nibh.,45.54,2024-03-01,2023-12-24
Descuento 10%,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",10.37,2023-09-08,2023-11-26
Descuento 50%,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.",66.73,2023-09-06,2024-01-23
Descuento 30%,Aliquam non mauris. Morbi non lectus.,56.41,2024-07-16,2024-06-06
Descuento 10%,Duis mattis egestas metus. Aenean fermentum.,70.26,2023-08-06,2024-03-19
Descuento 30%,Morbi non quam nec dui luctus rutrum. Nulla tellus.,40.22,2024-05-05,2024-03-26
Descuento 30%,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",30.54,2024-01-20,2024-07-11
Descuento 50%,Mauris sit amet eros.,7.26,2024-01-06,2023-10-27
Descuento 10%,Integer a nibh.,56.88,2023-11-14,2024-03-04
Descuento 10%,Donec dapibus. Duis at velit eu est congue elementum.,59.76,2023-10-12,2023-12-20
Descuento 30%,Nullam varius. Nulla facilisi.,29.82,2024-06-17,2024-02-28
Descuento 30%,Proin risus.,48.84,2024-03-26,2024-01-13
Descuento 30%,Nulla nisl.,7.56,2024-04-04,2024-01-10
Descuento 10%,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.",99.33,2023-12-29,2023-09-26
Descuento 50%,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",58.56,2023-08-08,2024-02-09
Descuento 10%,Suspendisse accumsan tortor quis turpis.,9.16,2023-09-16,2023-09-05
Descuento 30%,Curabitur gravida nisi at nibh.,66.21,2024-07-27,2024-03-07
Descuento 30%,Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,85.83,2024-05-23,2024-05-13
Descuento 50%,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,30.67,2024-07-19,2024-01-15
Descuento 30%,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",32.36,2024-05-27,2024-05-05
Descuento 30%,Nulla tellus. In sagittis dui vel nisl.,8.16,2023-08-14,2024-03-22
Descuento 10%,Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,12.38,2024-01-14,2024-03-10
Descuento 10%,Aliquam erat volutpat. In congue.,50.96,2023-11-17,2023-10-27
Descuento 50%,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",80.69,2024-04-12,2024-03-28
Descuento 30%,Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit.,48.61,2023-08-17,2023-09-27
Descuento 50%,Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum.,13.2,2024-05-25,2023-08-06
Descuento 50%,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",17.65,2024-05-29,2024-07-28
Descuento 30%,Duis ac nibh.,48.36,2023-12-23,2023-08-11
Descuento 50%,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.",35.21,2024-05-12,2024-05-13
Descuento 30%,Pellentesque ultrices mattis odio.,8.21,2023-08-02,2023-09-27
Descuento 30%,Etiam justo. Etiam pretium iaculis justo.,54.2,2023-12-25,2023-10-01
Descuento 10%,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,92.1,2023-12-13,2024-06-18
Descuento 10%,In sagittis dui vel nisl.,65.18,2023-09-16,2023-10-17
Descuento 50%,Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum.,78.97,2023-10-02,2024-02-06
Descuento 50%,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.",47.14,2024-06-17,2024-05-06
Descuento 10%,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.,40.54,2024-05-08,2023-10-14
Descuento 10%,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",66.27,2023-10-22,2024-04-07
Descuento 10%,Proin risus. Praesent lectus.,57.13,2023-10-05,2023-09-15
Descuento 50%,Ut at dolor quis odio consequat varius.,1.18,2024-03-14,2024-02-03
Descuento 50%,Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.,60.1,2023-12-07,2023-10-01
Descuento 30%,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",64.28,2024-07-16,2023-12-18
Descuento 30%,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",98.26,2023-08-23,2023-08-05
Descuento 50%,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",50.6,2024-04-29,2024-06-25
Descuento 50%,Nullam varius.,13.63,2024-06-09,2024-05-14
Descuento 50%,In hac habitasse platea dictumst.,31.09,2024-07-19,2023-11-05
Descuento 30%,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",37.52,2024-05-04,2024-06-15
Descuento 50%,Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.,50.26,2024-07-10,2024-04-16
Descuento 10%,Suspendisse potenti.,47.04,2024-05-19,2024-02-26
Descuento 50%,Cras pellentesque volutpat dui.,36.42,2024-02-05,2024-03-15
Descuento 50%,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",59.37,2023-09-04,2024-02-05
Descuento 50%,Morbi a ipsum.,69.41,2023-09-27,2024-07-09
Descuento 50%,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,39.12,2023-08-07,2023-11-07
Descuento 10%,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",34.81,2023-08-07,2024-01-08
Descuento 30%,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",49.82,2023-11-27,2023-09-17
Descuento 10%,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,74.09,2024-05-15,2024-03-30
Descuento 50%,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.,1.16,2024-07-12,2023-08-24
Descuento 30%,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,49.31,2024-01-23,2023-09-25
Descuento 30%,Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna.,42.45,2023-08-05,2023-12-02
Descuento 50%,Suspendisse accumsan tortor quis turpis. Sed ante.,48.54,2023-12-16,2024-03-12
Descuento 50%,Etiam pretium iaculis justo.,83.63,2024-04-11,2024-04-01
Descuento 10%,Cras pellentesque volutpat dui.,17.41,2024-01-28,2023-11-11
Descuento 50%,Aenean sit amet justo. Morbi ut odio.,19.1,2023-12-28,2024-02-20
Descuento 30%,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",57.63,2024-03-22,2024-04-16
Descuento 10%,Nulla facilisi.,46.18,2023-10-26,2023-10-31
Descuento 10%,Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,91.82,2024-07-02,2023-12-06
Descuento 10%,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula.",47.29,2024-07-24,2023-09-07
Descuento 30%,Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,85.74,2024-07-21,2024-05-27
Descuento 10%,Etiam pretium iaculis justo.,72.15,2024-04-18,2024-06-12
Descuento 30%,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",3.59,2023-09-25,2024-01-25
Descuento 10%,"Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",80.85,2024-01-13,2023-11-17
Descuento 50%,Donec ut mauris eget massa tempor convallis.,24.24,2023-09-12,2024-07-04
Descuento 50%,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",43.37,2024-07-29,2024-01-03
Descuento 10%,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",76.05,2023-10-31,2023-09-19
Descuento 30%,Nulla ut erat id mauris vulputate elementum.,30.6,2024-07-02,2024-02-24
Descuento 30%,Phasellus sit amet erat. Nulla tempus.,3.18,2024-01-14,2023-07-30
Descuento 10%,Aenean sit amet justo. Morbi ut odio.,96.53,2024-05-20,2024-02-16
Descuento 10%,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",94.58,2023-12-03,2024-05-15
Descuento 30%,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",26.95,2024-01-11,2024-03-08
Descuento 50%,Donec dapibus. Duis at velit eu est congue elementum.,50.33,2023-12-16,2023-08-22
Descuento 10%,"In est risus, auctor sed, tristique in, tempus sit amet, sem.",81.55,2023-12-27,2023-09-17
Descuento 10%,Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.,5.68,2023-11-29,2023-10-23
Descuento 10%,Integer ac neque. Duis bibendum.,72.87,2023-09-04,2023-10-11
Descuento 10%,Donec semper sapien a libero.,42.08,2024-02-19,2024-07-06
Descuento 30%,Morbi non quam nec dui luctus rutrum. Nulla tellus.,16.74,2024-07-15,2024-03-18
Descuento 50%,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla.",63.89,2023-10-11,2023-10-29
Descuento 10%,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",33.04,2023-08-26,2024-02-13
Descuento 50%,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",22.53,2023-08-29,2023-07-31
Descuento 30%,Integer non velit.,67.48,2024-05-29,2024-01-03
Descuento 30%,Sed accumsan felis. Ut at dolor quis odio consequat varius.,90.8,2023-09-10,2024-04-19
Descuento 30%,Aenean sit amet justo.,16.93,2024-07-27,2023-09-28
Descuento 50%,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",41.65,2023-08-17,2023-12-03
Descuento 10%,Ut tellus.,69.73,2023-12-17,2023-11-24
Descuento 50%,Duis bibendum.,73.36,2024-06-23,2024-06-17
Descuento 50%,Donec quis orci eget orci vehicula condimentum.,16.02,2023-10-16,2024-03-22
Descuento 50%,Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,48.65,2024-03-14,2023-12-15
Descuento 10%,Praesent lectus.,12.95,2024-02-08,2024-07-04
Descuento 50%,Aenean sit amet justo. Morbi ut odio.,80.04,2023-12-07,2023-11-30
Descuento 10%,Aliquam erat volutpat. In congue. Etiam justo.,54.9,2023-11-05,2023-11-11
Descuento 50%,Integer ac leo.,55.79,2024-03-19,2024-02-13
Descuento 30%,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque.",96.94,2024-01-27,2023-09-02
Descuento 50%,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.",18.44,2023-09-24,2024-02-20
Descuento 10%,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis.,29.22,2024-01-12,2023-09-24
Descuento 50%,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",97.7,2023-11-13,2023-08-23
Descuento 50%,Aliquam sit amet diam in magna bibendum imperdiet.,34.55,2023-10-24,2024-06-11
Descuento 30%,Proin at turpis a pede posuere nonummy. Integer non velit.,63.86,2023-09-09,2024-01-21
Descuento 30%,Quisque ut erat.,42.55,2023-12-11,2024-03-30
Descuento 30%,Quisque id justo sit amet sapien dignissim vestibulum.,84.04,2024-03-29,2024-06-14
Descuento 50%,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",50.29,2024-05-20,2024-01-12
Descuento 50%,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",20.45,2024-04-23,2024-05-30
Descuento 10%,Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,97.45,2023-11-26,2024-06-01
Descuento 10%,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,98.52,2024-01-01,2023-11-02
Descuento 30%,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.",90.78,2023-10-27,2023-12-06
Descuento 50%,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",51.79,2024-02-17,2023-08-16
Descuento 10%,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",85.43,2023-09-03,2024-04-13
Descuento 10%,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",83.84,2023-11-22,2024-07-22
Descuento 10%,In quis justo.,51.75,2023-11-18,2024-07-10
Descuento 10%,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",30.87,2024-01-11,2023-10-12
Descuento 30%,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",61.34,2023-12-03,2024-02-06
Descuento 10%,Duis ac nibh.,5.62,2024-06-20,2024-02-28
Descuento 50%,Fusce posuere felis sed lacus.,52.47,2024-04-23,2024-02-28
Descuento 50%,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",15.83,2024-07-27,2023-09-27
Descuento 50%,Etiam justo.,97.09,2024-02-09,2023-11-02
Descuento 10%,Duis aliquam convallis nunc.,41.46,2024-01-23,2024-01-21
Descuento 50%,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",30.13,2024-06-25,2023-10-14
Descuento 10%,Sed ante.,59.52,2024-06-23,2024-04-29
Descuento 30%,Aenean lectus.,80.5,2023-10-02,2024-04-08
Descuento 10%,Vivamus in felis eu sapien cursus vestibulum.,33.12,2024-05-31,2023-11-05
Descuento 50%,Nulla ut erat id mauris vulputate elementum. Nullam varius.,17.3,2023-11-17,2023-10-23
Descuento 30%,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat.",77.47,2023-12-12,2023-10-30
Descuento 30%,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim.",4.24,2023-09-02,2024-01-10
Descuento 30%,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.",21.56,2023-09-10,2023-11-11
Descuento 50%,Fusce posuere felis sed lacus.,39.56,2023-12-02,2023-09-18
Descuento 10%,Aliquam erat volutpat. In congue. Etiam justo.,26.74,2023-11-01,2023-12-28
Descuento 30%,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.",37.94,2024-05-17,2024-03-30
Descuento 50%,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",56.92,2023-08-11,2024-07-22
Descuento 50%,Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.,81.92,2023-10-27,2024-06-25
Descuento 30%,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.,10.18,2024-01-14,2023-09-24
Descuento 10%,Duis mattis egestas metus.,68.28,2023-12-07,2023-10-22
Descuento 50%,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,88.54,2024-04-22,2023-08-29
Descuento 50%,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.,89.74,2023-11-11,2023-08-25
Descuento 10%,Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum.,9.67,2023-10-19,2024-04-29
Descuento 10%,Maecenas pulvinar lobortis est.,48.1,2023-12-10,2024-06-17
Descuento 50%,Suspendisse potenti.,22.03,2024-01-10,2023-12-01
Descuento 50%,Sed vel enim sit amet nunc viverra dapibus.,49.94,2023-12-18,2024-02-12
Descuento 10%,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,59.37,2023-10-26,2023-11-26
Descuento 50%,Donec posuere metus vitae ipsum.,28.88,2024-04-15,2023-11-05
Descuento 10%,Maecenas pulvinar lobortis est. Phasellus sit amet erat.,64.15,2024-05-07,2024-06-17
Descuento 30%,Aliquam sit amet diam in magna bibendum imperdiet.,44.92,2023-10-26,2023-10-24
Descuento 30%,Mauris sit amet eros.,68.65,2024-02-10,2024-07-08
Descuento 10%,In eleifend quam a odio. In hac habitasse platea dictumst.,97.14,2023-11-12,2024-04-26
Descuento 50%,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",46.35,2023-10-23,2024-02-20
Descuento 50%,"Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",24.54,2023-12-14,2024-01-20
Descuento 30%,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",56.71,2024-02-29,2024-01-16
Descuento 50%,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.,72.37,2024-03-09,2023-11-06
Descuento 10%,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",23.66,2024-03-11,2024-02-06
Descuento 50%,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",86.78,2024-06-12,2023-11-07
Descuento 50%,Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna.,56.69,2023-10-19,2024-05-22
Descuento 50%,Donec semper sapien a libero.,54.81,2024-03-05,2024-05-20
Descuento 30%,Aliquam non mauris.,81.15,2024-01-21,2024-01-11
Descuento 10%,In congue.,23.62,2024-02-23,2024-04-27
Descuento 10%,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.",22.53,2023-08-21,2023-08-09
Descuento 50%,Nulla facilisi.,72.28,2023-09-01,2023-11-23
Descuento 50%,Aliquam sit amet diam in magna bibendum imperdiet.,42.11,2023-10-24,2023-09-01
Descuento 10%,Aenean lectus. Pellentesque eget nunc.,78.03,2024-02-01,2023-08-18
Descuento 30%,Morbi vel lectus in quam fringilla rhoncus.,46.58,2024-06-10,2023-08-10
Descuento 10%,Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,80.07,2023-08-12,2024-07-01
Descuento 50%,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",59.35,2024-05-26,2024-01-11
Descuento 50%,Proin eu mi. Nulla ac enim.,66.46,2023-08-28,2023-08-04
Descuento 50%,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue.",20.42,2023-11-03,2024-02-24
Descuento 50%,Nulla ac enim.,26.36,2024-06-10,2024-03-24
Descuento 30%,Maecenas pulvinar lobortis est.,30.09,2024-05-05,2023-11-10
Descuento 10%,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",17.87,2024-03-17,2024-03-30
Descuento 30%,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",89.58,2023-08-24,2024-06-04
Descuento 10%,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,91.51,2024-06-17,2023-12-30
Descuento 10%,Vestibulum sed magna at nunc commodo placerat.,38.69,2024-02-17,2024-04-15
Descuento 10%,Aenean lectus.,10.52,2024-07-13,2024-04-15
Descuento 30%,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio.",22.36,2023-11-04,2024-06-17
Descuento 30%,Curabitur in libero ut massa volutpat convallis.,45.51,2024-02-22,2024-02-07
Descuento 30%,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,13.93,2023-10-04,2023-10-21
Descuento 30%,Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna.,93.66,2024-01-08,2024-05-08
Descuento 50%,Pellentesque ultrices mattis odio. Donec vitae nisi.,88.54,2024-04-26,2024-02-04
Descuento 10%,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.,74.1,2023-09-28,2024-04-02
Descuento 50%,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",66.17,2024-05-01,2024-05-14
Descuento 30%,Quisque ut erat. Curabitur gravida nisi at nibh.,62.28,2024-05-03,2023-08-30
Descuento 10%,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",68.64,2024-06-06,2023-09-11
Descuento 10%,Cras pellentesque volutpat dui.,95.9,2023-09-10,2024-01-11
Descuento 10%,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.,62.34,2023-11-22,2023-08-05
Descuento 10%,Praesent blandit.,64.15,2024-03-26,2024-01-09
Descuento 30%,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,47.94,2023-11-10,2023-12-24
Descuento 50%,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis.",48.36,2024-03-08,2023-10-11
Descuento 50%,Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,75.49,2023-09-06,2023-09-01
Descuento 50%,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,33.31,2024-05-10,2023-10-27
Descuento 10%,In quis justo. Maecenas rhoncus aliquam lacus.,6.4,2024-07-22,2024-06-12
Descuento 30%,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",50.01,2024-05-29,2024-07-16
Descuento 30%,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,52.56,2023-12-13,2024-06-17
Descuento 10%,Nullam molestie nibh in lectus. Pellentesque at nulla.,76.59,2023-08-24,2024-06-07
Descuento 50%,Aliquam quis turpis eget elit sodales scelerisque.,25.11,2024-05-24,2024-05-24
Descuento 10%,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,37.68,2023-09-23,2023-10-08
Descuento 10%,Morbi porttitor lorem id ligula.,28.88,2024-05-21,2024-05-09
Descuento 30%,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",99.59,2023-12-11,2024-01-24
Descuento 50%,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.,45.82,2024-03-31,2023-11-27
Descuento 10%,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus.",85.8,2024-07-03,2023-08-10
Descuento 50%,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.,60.1,2024-07-25,2023-09-13
Descuento 50%,In hac habitasse platea dictumst.,60.18,2023-12-18,2024-02-05
Descuento 10%,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.",67.01,2024-05-25,2024-05-12
Descuento 50%,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,26.84,2024-01-30,2024-07-27
Descuento 50%,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",61.22,2024-01-30,2024-01-28
Descuento 50%,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",67.84,2023-12-19,2024-03-09
Descuento 30%,"Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",53.21,2023-08-31,2024-06-17
Descuento 50%,Nulla facilisi.,6.66,2024-04-27,2024-04-11
Descuento 30%,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.",53.63,2024-05-24,2023-10-23
Descuento 30%,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat.",5.29,2024-03-25,2023-09-26
Descuento 10%,Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh.,78.79,2023-08-26,2023-12-29
Descuento 50%,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,89.85,2024-05-10,2024-07-21
Descuento 10%,Duis consequat dui nec nisi volutpat eleifend.,39.51,2024-03-23,2024-02-19
Descuento 30%,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,49.98,2023-09-24,2023-08-11
Descuento 50%,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",7.94,2023-12-12,2024-06-14
